"COUNTRY_OR_AREA","COMMODITY_TRANSACTION","YEAR","UNIT","QUANTITY_FOOTNOTES","QUANTITY"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","1","2"
"Antigua and Barbuda","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","1","2"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","803"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","704"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","1168"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","1063"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","1085"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","825"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","1448"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","866"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","898"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","795"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","623"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","961"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","1010"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","939"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","913"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","805"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","804"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","828"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","819"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","802"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","947"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","884"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","1","1057"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","3.23000001907349"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","3.40000009536743"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","3.16000008583069"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","3.1800000667572"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","3.03999996185303"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","2.85999989509583"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","2.85999989509583"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","238"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","235"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","222"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","226"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","226"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","253"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","205"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","229"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","226"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","230"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","217"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","213"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","210"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","207"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","204"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","200"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","197"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","192"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","183"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","180"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","172"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","169"
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","165"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","29"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","38"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","42"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","39"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","52"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","52"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","39"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","40"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","34"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","34"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","39"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","43"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","51"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","43"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","39"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","36"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","31"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","26"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","22"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","22"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","null","19"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","null","19"
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","null","16"
